id_mutation,lot_numero,surface_carrez
2024-1190932,27,56.15
2024-1190934,41,80.34
2024-1190934,41,80.34
2024-1190935,47,70.5
2024-1190940,304,68.07
2024-1190940,304,68.07
2024-1190946,547,1.0
2024-1190947,4,30.59
2024-1190947,4,30.59
2024-1190948,1,48.78
2024-1190948,2,28.56
2024-1190950,4,12.67
2024-1190951,204,29.91
2024-1190951,204,29.91
2024-1190953,11,43.91
2024-1190954,18,36.65
2024-1190954,18,36.65
2024-1190957,1,33.07
2024-1190958,125,31.31
2024-1190958,125,31.31
2024-1190960,26,33.32
2024-1190961,8,5.38
2024-1190962,1134,25.8
2024-1190965,16,29.33
2024-1190966,120,58.03
2024-1190966,120,58.03
2024-1190966,120,58.03
2024-1190971,8,9.0
2024-1190972,4,132.24
2024-1190973,338,117.63
2024-1190973,338,117.63
2024-1190973,338,117.63
2024-1190975,107,192.21
2024-1190975,107,192.21
2024-1190976,235,82.03
2024-1190986,53,34.2
2024-1190986,53,34.2
2024-1190988,100,49.83
2024-1190988,100,49.83
2024-1190993,12,53.75
2024-1190993,12,53.75
2024-1190998,11,116.76
2024-1190998,11,116.76
2024-1191000,8,26.17
2024-1191002,1,26.68
2024-1191003,101,61.08
2024-1191003,100,61.08
2024-1191006,22,45.84
2024-1191006,22,45.84
2024-1191007,604,29.62
2024-1191007,604,29.62
2024-1191009,3,12.9
2024-1191010,1,55.13
2024-1191011,20,45.68
2024-1191012,197,29.89
2024-1191014,11,32.52
2024-1191018,48,19.71
2024-1191019,14,26.22
2024-1191019,14,26.22
2024-1191020,6,71.06
2024-1191020,6,71.06
2024-1191020,6,71.06
2024-1191021,19,110.96
2024-1191022,124,39.2
2024-1191023,11,15.9
2024-1191023,11,15.9
2024-1191024,7,63.56
2024-1191026,169,52.69
2024-1191027,209,119.3
2024-1191027,209,119.3
2024-1191028,17,13.53
2024-1191029,3,35.75
2024-1191029,3,35.75
2024-1191029,3,35.75
2024-1191031,4,9.55
2024-1191032,4,107.44
2024-1191032,4,107.44
2024-1191033,12,38.77
2024-1191034,5,41.79
2024-1191035,57,23.5
2024-1191046,398,38.69
2024-1191046,398,38.69
2024-1191047,10,51.59
2024-1191047,10,51.59
2024-1191049,41,36.77
2024-1191050,27,9.51
2024-1191051,24,28.55
2024-1191052,203,49.01
2024-1191052,203,49.01
2024-1191053,19,29.25
2024-1191053,19,29.25
2024-1191056,17,30.48
2024-1191057,51,38.03
2024-1191057,51,38.03
2024-1191059,93,39.8
2024-1191060,1125,42.56
2024-1191061,6,27.61
2024-1191062,135,18.01
2024-1191063,124,11.17
2024-1191064,35,13.87
2024-1191064,35,13.87
2024-1191066,2123,33.38
2024-1191066,2123,33.38
2024-1191067,313,5.0
2024-1191069,5,32.22
2024-1191070,12,109.57
2024-1191072,15,88.83
2024-1191076,139,32.64
2024-1191077,16,13.19
2024-1191078,13,27.35
2024-1191079,13,57.12
2024-1191080,17,155.04
2024-1191082,29,11.65
2024-1191083,4,67.09
2024-1191083,4,67.09
2024-1191086,37,51.28
2024-1191086,37,51.28
2024-1191087,318,36.95
2024-1191088,16,44.64
2024-1191090,24,31.1
2024-1191095,16,16.5
2024-1191096,19,43.5
2024-1191096,19,43.5
2024-1191097,5,16.63
2024-1191098,13,3.12
2024-1191105,13,35.58
2024-1191107,31,6.6
2024-1191107,30,6.3
2024-1191107,29,218.2
2024-1191112,53,39.36
2024-1191112,53,39.36
2024-1191115,150,61.13
2024-1191118,5,38.1
2024-1191120,19,61.46
2024-1191129,58,26.57
2024-1191131,17,81.84
2024-1191131,17,81.84
2024-1191132,28,34.48
2024-1191134,8,17.0
2024-1191136,1,28.29
2024-1191138,62,45.0
2024-1191138,62,45.0
2024-1191139,28,10.2
2024-1191141,36,71.49
2024-1191141,36,71.49
2024-1191144,39,150.4
2024-1191144,39,150.4
2024-1191144,39,150.4
2024-1191146,12,96.12
2024-1191150,165,33.21
2024-1191153,42,13.13
2024-1191154,115,41.75
2024-1191172,16,9.01
2024-1191173,27,11.11
2024-1191174,47,51.94
2024-1191181,13,101.06
2024-1191182,71,41.59
2024-1191182,71,41.59
2024-1191184,453,50.51
2024-1191185,2,27.7
2024-1191186,42,15.8
2024-1191187,41,15.02
2024-1191188,14,48.49
2024-1191191,31,46.44
2024-1191191,31,46.44
2024-1191192,3,99.02
2024-1191192,3,99.02
2024-1191192,3,99.02
2024-1191197,24,37.35
2024-1191197,24,37.35
2024-1191199,21,53.63
2024-1191199,21,53.63
2024-1191200,19,136.48
2024-1191200,19,136.48
2024-1191200,19,136.48
2024-1191200,19,136.48
2024-1191202,24,15.97
2024-1191203,44,61.06
2024-1191203,44,61.06
2024-1191204,40,117.25
2024-1191207,1,19.57
2024-1191207,1,19.57
2024-1191209,50,38.75
2024-1191209,50,38.75
2024-1191210,10,62.02
2024-1191210,10,62.02
2024-1191212,32,83.45
2024-1191213,35,60.32
2024-1191214,1,43.7
2024-1191217,21,20.43
2024-1191220,22,10.39
2024-1191224,14,35.66
2024-1191228,251,76.13
2024-1191229,29,34.61
