id_mutation;code_commune;annee;valeur_fonciere;type_local;surface_reelle_bati;nombre_pieces_principales;prix_m2
2020-814799;75103;2020;1100000.0;Appartement;92.0;4.0;11956.521739130434
2020-814800;75101;2020;166000.0;Appartement;18.0;1.0;9222.222222222223
2020-814801;75103;2020;468531.78;Appartement;34.0;2.0;13780.346470588236
2020-814802;75103;2020;932500.0;Appartement;34.0;3.0;27426.470588235294
2020-814802;75103;2020;932500.0;Appartement;34.0;3.0;27426.470588235294
2020-814803;75103;2020;236510.0;Appartement;15.0;1.0;15767.333333333334
2020-814804;75108;2020;62000.0;Appartement;10.0;1.0;6200.0
2020-814806;75101;2020;225000.0;Appartement;14.0;2.0;16071.42857142857
2020-814807;75103;2020;500000.0;Appartement;50.0;3.0;10000.0
2020-814808;75108;2020;405000.0;Appartement;33.0;2.0;12272.727272727272
2020-814810;75103;2020;1032300.0;Appartement;60.0;2.0;17205.0
2020-814811;75101;2020;344160.0;Appartement;27.0;1.0;12746.666666666666
2020-814814;75108;2020;675000.0;Appartement;57.0;3.0;11842.105263157895
2020-814815;75108;2020;990000.0;Appartement;83.0;3.0;11927.710843373494
2020-814816;75103;2020;315000.0;Appartement;29.0;2.0;10862.068965517241
2020-814817;75103;2020;836334.0;Appartement;62.0;3.0;13489.258064516129
2020-814818;75103;2020;245000.0;Appartement;17.0;1.0;14411.764705882353
2020-814820;75101;2020;804900.0;Appartement;54.0;2.0;14905.555555555555
2020-814821;75108;2020;1512000.0;Appartement;90.0;4.0;16800.0
2020-814822;75103;2020;1100000.0;Appartement;87.0;3.0;12643.67816091954
2020-814826;75108;2020;4770000.0;Appartement;164.0;5.0;29085.365853658535
2020-814827;75103;2020;400000.0;Appartement;32.0;2.0;12500.0
2020-814829;75108;2020;320000.0;Appartement;29.0;3.0;11034.48275862069
2020-814831;75103;2020;231000.0;Appartement;18.0;1.0;12833.333333333334
2020-814834;75108;2020;280000.0;Appartement;22.0;1.0;12727.272727272728
2020-814835;75103;2020;1176000.0;Appartement;119.0;4.0;9882.35294117647
2020-814837;75101;2020;436610.0;Appartement;32.0;1.0;13644.0625
2020-814839;75108;2020;550000.0;Appartement;25.0;2.0;22000.0
2020-814844;75108;2020;1096000.0;Appartement;88.0;2.0;12454.545454545454
2020-814845;75108;2020;6500.0;Appartement;80.0;4.0;81.25
2020-814846;75103;2020;223000.0;Appartement;21.0;1.0;10619.047619047618
2020-814847;75108;2020;386500.0;Appartement;37.0;1.0;10445.945945945947
2020-814848;75103;2020;950000.0;Appartement;78.0;4.0;12179.48717948718
2020-814849;75103;2020;493000.0;Appartement;43.0;2.0;11465.116279069767
2020-814850;75103;2020;511937.0;Appartement;47.0;2.0;10892.27659574468
2020-814851;75103;2020;353800.0;Appartement;33.0;1.0;10721.212121212122
2020-814852;75101;2020;1799000.0;Appartement;154.0;3.0;11681.818181818182
2020-814854;75103;2020;488270.0;Appartement;48.0;2.0;10172.291666666666
2020-814855;75103;2020;580000.0;Appartement;40.0;2.0;14500.0
2020-814856;75103;2020;190000.0;Appartement;17.0;2.0;11176.470588235294
2020-814857;75108;2020;1576750.0;Appartement;123.0;4.0;12819.105691056911
2020-814859;75103;2020;293000.0;Appartement;23.0;2.0;12739.130434782608
2020-814860;75108;2020;242950.0;Appartement;20.0;1.0;12147.5
2020-814862;75101;2020;242250.0;Appartement;23.0;1.0;10532.608695652174
2020-814863;75108;2020;70000.0;Appartement;100.0;4.0;700.0
2020-814864;75108;2020;200780.0;Appartement;16.0;1.0;12548.75
2020-814865;75108;2020;1781785.0;Appartement;149.0;5.0;11958.288590604026
2020-814866;75108;2020;1555000.0;Appartement;122.0;4.0;12745.901639344262
2020-814867;75108;2020;1072800.0;Appartement;92.0;4.0;11660.869565217392
2020-814868;75103;2020;363735.0;Appartement;53.0;2.0;6862.924528301887
2020-814869;75108;2020;2408150.0;Appartement;172.0;6.0;14000.872093023256
2020-814871;75101;2020;1015111.0;Appartement;69.0;2.0;14711.753623188406
2020-814872;75101;2020;200000.0;Appartement;17.0;1.0;11764.70588235294
2020-814873;75103;2020;959500.0;Appartement;78.0;3.0;12301.28205128205
2020-814874;75101;2020;1878000.0;Appartement;96.0;4.0;19562.5
2020-814875;75101;2020;1250000.0;Appartement;62.0;4.0;20161.290322580644
2020-814876;75103;2020;459000.0;Appartement;56.0;2.0;8196.42857142857
2020-814877;75101;2020;229245.0;Appartement;18.0;1.0;12735.833333333334
2020-814880;75103;2020;520000.0;Appartement;45.0;2.0;11555.555555555555
2020-814882;75103;2020;499000.0;Appartement;39.0;1.0;12794.871794871795
2020-814882;75103;2020;499000.0;Appartement;10.0;1.0;49900.0
2020-814883;75103;2020;505000.0;Appartement;39.0;1.0;12948.71794871795
2020-814886;75103;2020;250000.0;Appartement;17.0;1.0;14705.882352941177
2020-814887;75103;2020;490000.0;Appartement;35.0;2.0;14000.0
2020-814888;75103;2020;550000.0;Appartement;39.0;2.0;14102.564102564103
