code_commune;revenu_median
59378;29930.0
59383;17710.0
59386;22790.0
59392;13155.0
59410;17920.0
59421;28300.0
59426;23900.0
59491;16950.0
59507;20820.0
59508;23630.0
59512;8790.0
59526;17520.0
59527;23590.0
59544;21785.0
59560;21410.0
59569;17145.0
59574;17295.0
59599;16050.0
59606;18645.0
59616;15740.0
59636;25510.0
59646;24470.0
59648;21805.0
59650;17450.0
60057;19995.0
60141;30350.0
60157;21935.0
60159;20130.0
60175;10650.0
60176;22165.0
60395;18640.0
60414;17100.0
60463;13890.0
60471;15885.0
60509;18020.0
60612;29555.0
61001;18540.0
61006;17010.0
61169;18230.0
62041;19120.0
62048;15110.0
62065;16260.0
62108;18300.0
62119;17140.0
62160;15260.0
62178;14345.0
62186;17535.0
62193;15940.0
62215;17665.0
62250;18690.0
62318;16030.0
62413;17260.0
62427;16080.0
62498;14520.0
62510;15115.0
62516;18450.0
62525;15750.0
62548;21610.0
62570;17110.0
62587;16395.0
62617;16730.0
62643;17780.0
62758;20020.0
62765;13710.0
63032;25190.0
63075;26545.0
63113;19570.0
63124;23575.0
63164;21015.0
63178;19140.0
63284;22710.0
63300;22125.0
63430;17250.0
64024;23440.0
64102;20070.0
64122;25340.0
64129;20260.0
64260;21280.0
64348;23690.0
64422;19200.0
64430;20520.0
64445;19230.0
64483;22285.0
65286;17270.0
65440;17010.0
66008;20715.0
66037;21070.0
66136;14550.0
66171;20440.0
66172;20840.0
67043;18360.0
67046;20740.0
67130;22235.0
67180;21645.0
67204;22760.0
67218;23970.0
67267;22970.0
67348;24080.0
67365;22600.0
67437;20270.0
67447;18490.0
67462;21950.0
67482;20190.0
68063;21850.0
68066;19145.0
68112;18310.0
68154;17970.0
68166;22110.0
68224;13260.0
68271;25730.0
68278;25230.0
68297;22200.0
68375;23760.0
68376;20985.0
69027;24985.0
69029;20510.0
69034;26960.0
69069;28210.0
69081;28125.0
69089;25840.0
69091;14760.0
69149;22640.0
69152;18460.0
69199;12980.0
69202;30360.0
69204;25685.0
69243;17690.0
69244;25840.0
69256;12960.0
69259;15170.0
69264;17290.0
69266;19595.0
69273;23910.0
69275;20820.0
69277;30635.0
69282;23375.0
69283;24500.0
69286;14290.0
69290;19240.0
69381;25210.0
69382;30900.0
69383;25850.0
69384;27645.0
69385;25425.0
69386;32940.0
69387;23670.0
69388;20890.0
69389;18715.0
70285;19525.0
70550;16940.0
71014;18930.0
71076;19200.0
71153;19165.0
71270;18170.0
71306;17330.0
72003;11710.0
72154;19580.0
72181;21330.0
72264;19080.0
73008;22130.0
73011;18420.0
73065;20805.0
73179;25320.0
74010;24810.0
74012;22270.0
74042;24260.0
74081;21415.0
74133;25010.0
74208;23445.0
74224;24480.0
74225;21695.0
74243;34360.0
74256;24010.0
74281;24025.0
75101;40750.0
75102;36635.0
75103;35540.0
75104;35540.0
75105;38150.0
75106;46350.0
75107;51255.0
75108;51940.0
75109;39930.0
75110;30150.0
75111;31300.0
75112;32850.0
75113;25675.0
75114;33020.0
75115;36640.0
75116;48935.0
75117;41250.0
75118;26375.0
75119;21960.0
75120;23520.0
76057;19060.0
76108;33385.0
76114;15805.0
76157;15890.0
76165;17970.0
76216;18690.0
76217;16510.0
76231;12765.0
76259;18120.0
76322;19500.0
76351;17555.0
76410;14890.0
76447;22550.0
76451;30330.0
76484;19420.0
76498;19020.0
76540;21690.0
76575;17320.0
76681;19610.0
76758;20150.0
77014;26400.0
77053;25070.0
77058;32130.0
77083;20460.0
77108;21725.0
77118;27445.0
77122;25710.0
77131;19010.0
77152;18870.0
77186;28190.0
77243;25740.0
77251;22470.0
77258;21330.0
77284;16865.0
77285;16705.0
77288;16585.0
77294;22660.0
77296;21110.0
77305;12030.0
77307;26125.0
77316;26950.0
77333;17230.0
77337;19070.0
77350;27900.0
77373;23980.0
77379;19660.0
77390;24190.0
77407;23935.0
77445;20930.0
77468;19630.0
77479;26400.0
77487;27430.0
77514;22435.0
78005;19660.0
78015;29930.0
78029;21470.0
78073;27715.0
78123;19755.0
78124;34120.0
78126;32220.0
78138;15320.0
78146;35390.0
78158;34280.0
78165;25390.0
78172;26850.0
78190;45885.0
78208;25110.0
78242;25530.0
78297;24330.0
78311;30660.0
78335;18040.0
78358;37970.0
78361;12520.0
78362;20815.0
78372;34170.0
78383;27625.0
78418;33180.0
78423;32200.0
78440;16140.0
78481;33940.0
78490;23960.0
78498;25150.0
78517;28675.0
78545;27420.0
78551;35640.0
78586;26930.0
78621;14805.0
78624;32130.0
78640;29445.0
78642;28520.0
78646;35950.0
78650;47240.0
78686;36560.0
78688;39090.0
79049;20540.0
79191;22090.0
79202;18810.0
79329;18320.0
80001;16990.0
80016;18140.0
80021;18400.0
81004;20535.0
81065;19180.0
81099;19650.0
81105;16130.0
81140;20460.0
81163;17385.0
82033;18000.0
82112;19440.0
82121;19130.0
83023;18080.0
83042;20345.0
83047;23800.0
83049;23130.0
83050;19065.0
83061;19940.0
83062;23685.0
83069;22220.0
83073;18740.0
83090;24370.0
83098;24305.0
83107;24025.0
83112;26460.0
83115;21760.0
83116;24560.0
83118;25140.0
83123;24050.0
83126;20910.0
83129;24310.0
83130;23620.0
83137;18905.0
83144;21290.0
83148;18580.0
84003;16400.0
84007;16840.0
84019;17285.0
84031;15080.0
84035;16850.0
84054;20485.0
84080;19860.0
84087;18540.0
84088;22880.0
84089;21900.0
84092;18490.0
84129;17330.0
84141;21170.0
85047;21045.0
85092;20360.0
85109;21405.0
85191;20710.0
85194;23110.0
85226;22890.0
86066;19450.0
86194;20270.0
87085;19800.0
87114;24040.0
87154;20170.0
88160;19810.0
88413;17670.0
89024;20830.0
89206;16895.0
89387;18040.0
90010;17660.0
91021;21615.0
91027;22170.0
91103;21850.0
91114;29000.0
91161;24030.0
91174;15430.0
91200;21835.0
91201;28210.0
91215;15085.0
91216;30240.0
91223;19380.0
91228;15660.0
91272;40910.0
91286;9865.0
91312;31585.0
91326;21440.0
91345;21835.0
91377;24400.0
91386;27280.0
91421;26380.0
91432;25940.0
91434;22585.0
91471;34880.0
91477;26470.0
91521;19530.0
91549;23825.0
91570;24185.0
91573;26070.0
91589;27085.0
91645;40510.0
91657;20485.0
91661;31810.0
91687;22250.0
91691;29560.0
91692;18995.0
92002;34470.0
92004;30240.0
92007;19830.0
