Arrondissement;nb_ventes_2020;prix_median_2020;prix_m2_median_2020;nb_ventes_2021;prix_median_2021;prix_m2_median_2021;nb_ventes_2022;prix_median_2022;prix_m2_median_2022;nb_ventes_2023;prix_median_2023;prix_m2_median_2023;nb_ventes_2024;prix_median_2024;prix_m2_median_2024;nb_ventes_2025;prix_median_2025;prix_m2_median_2025;evolution_prix_2020_2024_pct;evolution_prix_m2_2020_2024_pct;evolution_prix_2020_2021_pct;evolution_prix_2021_2022_pct;evolution_prix_2022_2023_pct;evolution_prix_2023_2024_pct;evolution_prix_2024_2025_pct;evolution_prix_m2_2020_2021_pct;evolution_prix_m2_2021_2022_pct;evolution_prix_m2_2022_2023_pct;evolution_prix_m2_2023_2024_pct;evolution_prix_m2_2024_2025_pct;evolution_volume_2020_2021_pct;evolution_volume_2021_2022_pct;evolution_volume_2022_2023_pct;evolution_volume_2023_2024_pct;evolution_volume_2024_2025_pct;tendance_prix_m2;evolution_annuelle_moyenne_pct;volatilite_prix_m2;nb_appartements_2024;nb_maisons_2024;pct_appartements;nb_pieces_moyen;estimation_logement_social_pct;nb_stations_metro;trafic_total_metro;nb_lignes_metro;nb_lignes_rer;lignes_metro;lignes_rer;no2_moyen;pm10_moyen;o3_moyen;qualite_air_dominante;population_2018;nb_menages_2018;nb_logements_2018;prix_m2_stats_2020;type_dominant_2020;nb_appartement_2020;pct_appartement_2020;nb_local_industriel_commercial_ou_assimilé_2020;pct_local_industriel_commercial_ou_assimilé_2020;nb_dépendance_2020;pct_dépendance_2020;type_dominant_2021;nb_appartement_2021;pct_appartement_2021;nb_local_industriel_commercial_ou_assimilé_2021;pct_local_industriel_commercial_ou_assimilé_2021;nb_dépendance_2021;pct_dépendance_2021;type_dominant_2022;nb_appartement_2022;pct_appartement_2022;nb_dépendance_2022;pct_dépendance_2022;nb_local_industriel_commercial_ou_assimilé_2022;pct_local_industriel_commercial_ou_assimilé_2022;type_dominant_2023;nb_appartement_2023;pct_appartement_2023;nb_dépendance_2023;pct_dépendance_2023;nb_local_industriel_commercial_ou_assimilé_2023;pct_local_industriel_commercial_ou_assimilé_2023;type_dominant_2024;nb_appartement_2024;pct_appartement_2024;nb_local_industriel_commercial_ou_assimilé_2024;pct_local_industriel_commercial_ou_assimilé_2024;nb_dépendance_2024;pct_dépendance_2024;type_dominant_2025;nb_appartement_2025;pct_appartement_2025;nb_dépendance_2025;pct_dépendance_2025;nb_local_industriel_commercial_ou_assimilé_2025;pct_local_industriel_commercial_ou_assimilé_2025;nb_maison_2021;pct_maison_2021;nb_maison_2022;pct_maison_2022;nb_maison_2023;pct_maison_2023;nb_maison_2024;pct_maison_2024;nb_maison_2025;pct_maison_2025;nb_maison_2020;pct_maison_2020
11;2094;399000;11304;6719;517000;11669;7324;470000;11142;5487;405650;10454;5827;400000;10000;1833;390000;10000;0.3;-11.5;29.6;-9.1;-13.7;-1.4;-2.5;3.2;-4.5;-6.2;-4.3;0.0;220.9;9.0;-25.1;6.2;-68.5;Baisse modérée;-2.4;3.5;2910;1;100.0;2.2;Faible (<10%);16;42107896;8;0;2, 3, 5, 8, 9, 11, 9.0, 11.0;nan;36.1;32.1;38.0;Moyenne;2175601;1140772;1386846;10525;Appartement;1442;68.9;231;11.0;415;19.8;Appartement;4017;59.8;403;6.0;2292;34.1;Appartement;3750;51.2;2945;40.2;622;8.5;Appartement;2711;49.4;2444;44.5;323;5.9;Appartement;2887;49.5;502;8.6;2433;41.8;Dépendance;859;46.9;870;47.5;104;5.7;1.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;;;4.0;0.2
12;2833;511800;10500;3996;429000;10428;5074;450500;10218;4093;404000;9625;3771;368175;9000;1405;375000;8976;-28.1;-14.3;-16.2;5.0;-10.3;-8.9;1.9;-0.7;-2.0;-5.8;-6.5;-0.3;41.1;27.0;-19.3;-7.9;-62.7;Baisse modérée;-3.1;2.6;1705;4;99.8;2.3;Faible (<10%);21;112775167;8;1;1, 2, 5, 6, 8, 9, 14, 9.0;A;36.3;32.0;38.5;Moyenne;2175601;1140772;1386846;9706;Appartement;1706;60.2;457;16.1;661;23.3;Appartement;2072;51.9;219;5.5;1683;42.1;Dépendance;2211;43.6;2549;50.2;289;5.7;Dépendance;1899;46.4;1989;48.6;190;4.6;Dépendance;1693;44.9;187;5.0;1848;49.0;Dépendance;655;46.6;680;48.4;66;4.7;12.0;0.3;10.0;0.2;5.0;0.1;4.0;0.1;2.0;0.1;8.0;0.3
13;1149;380000;10082;3794;438882;10000;4330;420300;10000;3612;386500;9214;3562;400000;8848;1189;350000;8741;5.3;-12.2;15.5;-4.2;-8.0;3.5;-12.5;-0.8;0.0;-7.9;-4.0;-1.2;230.2;14.1;-16.6;-1.4;-66.6;Baisse modérée;-2.8;2.9;1689;18;98.9;2.2;Moyen (10-20%);18;54466958;5;0;5, 6, 7, 10, 14;nan;34.9;31.9;38.3;Moyenne;2175601;1140772;1386846;9508;Appartement;710;61.8;91;7.9;306;26.6;Appartement;1951;51.4;147;3.9;1654;43.6;Dépendance;2011;46.4;2057;47.5;187;4.3;Dépendance;1646;45.6;1729;47.9;140;3.9;Dépendance;1659;46.6;145;4.1;1725;48.4;Appartement;578;48.6;551;46.3;40;3.4;20.0;0.5;17.0;0.4;17.0;0.5;18.0;0.5;9.0;0.8;12.0;1.0
14;1400;500000;11252;3855;474000;10888;4495;490000;10728;4023;426240;10178;3471;371600;9464;1553;392500;9521;-25.7;-15.9;-5.2;3.4;-13.0;-12.8;5.6;-3.2;-1.5;-5.1;-7.0;0.6;175.4;16.6;-10.5;-13.7;-55.3;Baisse modérée;-3.2;2.7;1634;22;98.7;2.3;Faible (<10%);14;54157381;5;1;4, 6, 12, 13, 13.0;B;33.5;31.4;38.1;Moyenne;2175601;1140772;1386846;10172;Appartement;968;69.1;128;9.1;288;20.6;Appartement;2124;55.1;220;5.7;1470;38.1;Dépendance;2068;46.0;2181;48.5;205;4.6;Dépendance;1900;47.2;1916;47.6;174;4.3;Dépendance;1626;46.8;155;4.5;1644;47.4;Appartement;727;46.8;719;46.3;98;6.3;25.0;0.6;22.0;0.5;22.0;0.5;22.0;0.6;6.0;0.4;8.0;0.6
15;3355;584000;11000;9895;597441;10894;12983;715350;10892;7543;465000;10105;7311;442250;9642;2695;425000;9600;-24.3;-12.3;2.3;19.7;-35.0;-4.9;-3.9;-1.0;-0.0;-7.2;-4.6;-0.4;194.9;31.2;-41.9;-3.1;-63.1;Baisse modérée;-2.6;2.8;3373;12;99.6;2.4;Faible (<10%);19;42680563;4;0;6, 8, 10, 12;nan;33.1;31.2;37.9;Moyenne;2175601;1140772;1386846;10401;Appartement;1966;58.6;386;11.5;975;29.1;Appartement;4923;49.8;520;5.3;4424;44.7;Dépendance;5756;44.3;5919;45.6;1263;9.7;Dépendance;3304;43.8;3778;50.1;404;5.4;Dépendance;3344;45.7;341;4.7;3591;49.1;Dépendance;1161;43.1;1381;51.2;149;5.5;9.0;0.1;19.0;0.1;18.0;0.2;12.0;0.2;2.0;0.1;5.0;0.1
16;3322;846000;12127;8511;940436;11931;10018;888960;12157;7698;788000;11651;6818;692000;11122;2754;810000;11301;-18.2;-8.3;11.2;-5.5;-11.4;-12.2;17.1;-1.6;1.9;-4.2;-4.5;1.6;156.2;17.7;-23.2;-11.4;-59.6;Stable;-1.4;2.7;2711;22;99.2;3.0;Faible (<10%);20;38588088;5;0;1, 2, 6, 9, 10;nan;36.3;32.2;37.7;Moyenne;2175601;1140772;1386846;10754;Appartement;1636;49.2;453;13.6;1214;36.5;Dépendance;3555;41.8;666;7.8;4223;49.6;Dépendance;3975;39.7;5597;55.9;397;4.0;Dépendance;2891;37.6;4343;56.4;422;5.5;Dépendance;2668;39.1;347;5.1;3771;55.3;Dépendance;1040;37.8;1562;56.7;143;5.2;54.0;0.6;36.0;0.4;31.0;0.4;22.0;0.3;8.0;0.3;19.0;0.6
17;2491;505000;11605;7023;582500;11538;8376;575000;11552;6304;485000;10928;5774;458700;10236;2643;485000;10377;-9.2;-11.8;15.3;-1.3;-15.7;-5.4;5.7;-0.6;0.1;-5.4;-6.3;1.4;181.9;19.3;-24.7;-8.4;-54.2;Baisse modérée;-2.2;3.1;2671;4;99.9;2.5;Faible (<10%);17;46567814;5;1;1, 2, 3, 13, 14;A;37.2;32.4;38.1;Moyenne;2175601;1140772;1386846;10909;Appartement;1553;62.3;196;7.9;707;28.4;Appartement;3546;50.5;537;7.6;2911;41.4;Appartement;3972;47.4;3800;45.4;578;6.9;Dépendance;2925;46.4;2983;47.3;380;6.0;Dépendance;2639;45.7;370;6.4;2740;47.5;Dépendance;1205;45.6;1323;50.1;108;4.1;9.0;0.1;11.0;0.1;7.0;0.1;4.0;0.1;5.0;0.2;18.0;0.7
18;2692;403600;10581;7850;450000;10488;8423;395050;10219;7360;400000;9672;5707;328000;8858;3295;435600;9000;-18.7;-16.3;11.5;-12.2;1.3;-18.0;32.8;-0.9;-2.6;-5.4;-8.4;1.6;191.6;7.3;-12.6;-22.5;-42.3;Baisse modérée;-3.1;3.5;2986;11;99.6;2.1;Moyen (10-20%);13;41870261;3;0;2, 4, 12;nan;36.7;32.2;38.7;Moyenne;2175601;1140772;1386846;9935;Appartement;2059;76.5;188;7.0;433;16.1;Appartement;4052;51.6;901;11.5;2850;36.3;Appartement;4532;53.8;3508;41.6;357;4.2;Appartement;4128;56.1;2966;40.3;243;3.3;Appartement;2925;51.3;349;6.1;2392;41.9;Appartement;1640;49.8;1495;45.4;149;4.5;18.0;0.2;11.0;0.1;13.0;0.2;11.0;0.2;7.0;0.2;7.0;0.3
19;1546;436500;9413;5435;543700;9619;5618;455775;9528;4944;450000;8896;3739;370000;7986;1553;355800;8221;-15.2;-15.2;24.6;-16.2;-1.3;-17.8;-3.8;2.2;-0.9;-6.6;-10.2;2.9;251.6;3.4;-12.0;-24.4;-58.5;Baisse modérée;-2.5;5.1;1560;22;98.6;2.2;Moyen (10-20%);15;32408205;5;0;2, 5, 7, 11, 7bis;nan;37.4;32.4;38.7;Moyenne;2175601;1140772;1386846;8956;Appartement;1031;66.7;127;8.2;370;23.9;Appartement;3071;56.5;267;4.9;2070;38.1;Appartement;2683;47.8;2637;46.9;245;4.4;Appartement;2493;50.4;2165;43.8;258;5.2;Dépendance;1550;41.5;603;16.1;1558;41.7;Dépendance;661;42.6;795;51.2;89;5.7;21.0;0.4;36.0;0.6;25.0;0.5;22.0;0.6;7.0;0.5;16.0;1.0
20;1645;400000;9722;5445;489450;9730;5446;400000;9529;4246;360385;8857;4185;339500;8372;2032;380500;8450;-15.1;-13.9;22.4;-18.3;-9.9;-5.8;12.1;0.1;-2.1;-7.1;-5.5;0.9;231.0;0.0;-22.0;-1.4;-51.4;Baisse modérée;-2.7;3.1;2114;14;99.3;2.1;Moyen (10-20%);11;26999499;5;0;2, 3, 9, 11, 3bis;nan;36.1;31.8;38.3;Moyenne;2175601;1140772;1386846;9106;Appartement;1113;67.7;111;6.7;411;25.0;Appartement;2832;52.0;355;6.5;2199;40.4;Appartement;2658;48.8;2520;46.3;231;4.2;Dépendance;2031;47.8;2042;48.1;139;3.3;Appartement;2083;49.8;120;2.9;1956;46.7;Appartement;995;49.0;952;46.9;63;3.1;35.0;0.6;22.0;0.4;26.0;0.6;14.0;0.3;12.0;0.6;6.0;0.4
